company,career_page_url,ats_type,slug,enabled,keyword_filter,department_filter,tier,last_fetch_status
Gameloft,https://jobs.smartrecruiters.com/Gameloft,smartrecruiters,Gameloft,TRUE,,,3,verified
Deezer,https://jobs.smartrecruiters.com/Deezer,smartrecruiters,Deezer,TRUE,,,3,verified_empty
Dailymotion,https://jobs.smartrecruiters.com/Dailymotion,smartrecruiters,Dailymotion,TRUE,,,3,verified
Sia Partners,https://jobs.smartrecruiters.com/SiaPartners,smartrecruiters,SiaPartners,TRUE,,,2,verified_empty
Konecranes,https://jobs.smartrecruiters.com/Konecranes,smartrecruiters,Konecranes,TRUE,,,1,verified
KION Group,https://jobs.smartrecruiters.com/KIONGroup,smartrecruiters,KIONGroup,TRUE,,,1,verified_empty
STMicroelectronics,https://jobs.smartrecruiters.com/STMicroelectronics,smartrecruiters,STMicroelectronics,TRUE,,,1,verified_empty
Hitachi Solutions,https://jobs.smartrecruiters.com/HitachiSolutions,smartrecruiters,HitachiSolutions,TRUE,,,2,verified
Cielo,https://jobs.smartrecruiters.com/Cielo,smartrecruiters,Cielo,TRUE,,,3,verified_empty
Nexans,https://jobs.smartrecruiters.com/Nexans,smartrecruiters,Nexans,TRUE,,,1,verified_empty
Tractebel,https://jobs.smartrecruiters.com/Tractebel,smartrecruiters,Tractebel,TRUE,,,1,verified_empty
COWI,https://jobs.smartrecruiters.com/COWI,smartrecruiters,COWI,TRUE,,,1,verified_empty
Arcadis,https://jobs.smartrecruiters.com/Arcadis,smartrecruiters,Arcadis,TRUE,,,1,verified_empty
Rambus,https://jobs.smartrecruiters.com/Rambus,smartrecruiters,Rambus,TRUE,,,1,verified_empty
OpenX,https://jobs.smartrecruiters.com/OpenX,smartrecruiters,OpenX,TRUE,,,3,verified_empty
NinjaOne,https://jobs.smartrecruiters.com/NinjaOne,smartrecruiters,NinjaOne,TRUE,,,3,verified_empty
Forto,https://jobs.smartrecruiters.com/Forto,smartrecruiters,Forto,TRUE,,,3,verified_empty
Celonis,https://jobs.smartrecruiters.com/Celonis,smartrecruiters,Celonis,TRUE,,,3,verified_empty
DHL,https://jobs.smartrecruiters.com/DHL,smartrecruiters,DHL,TRUE,,,3,verified_empty
Toll Group,https://jobs.smartrecruiters.com/TollGroup,smartrecruiters,TollGroup,TRUE,,,3,verified_empty
foodpanda,https://jobs.smartrecruiters.com/foodpanda,smartrecruiters,foodpanda,TRUE,,,3,verified_empty
Grab,https://jobs.smartrecruiters.com/Grab,smartrecruiters,Grab,TRUE,,,3,verified
OLX,https://jobs.smartrecruiters.com/OLX,smartrecruiters,OLX,TRUE,,,3,verified_empty
Booking.com,https://jobs.smartrecruiters.com/Bookingcom,smartrecruiters,Bookingcom,TRUE,,,3,verified_empty
Red Bull,https://jobs.smartrecruiters.com/RedBull,smartrecruiters,RedBull,TRUE,,,3,verified
Fender,https://jobs.smartrecruiters.com/Fender,smartrecruiters,Fender,TRUE,,,3,verified_empty
Mattel,https://jobs.smartrecruiters.com/Mattel,smartrecruiters,Mattel,TRUE,,,3,verified_empty
Lego,https://jobs.smartrecruiters.com/Lego,smartrecruiters,Lego,TRUE,,,3,verified_empty
IKEA,https://jobs.smartrecruiters.com/IKEA,smartrecruiters,IKEA,TRUE,,,3,verified_empty
Zalando,https://jobs.smartrecruiters.com/Zalando,smartrecruiters,Zalando,TRUE,,,3,verified_empty
ASML,https://jobs.smartrecruiters.com/ASML,smartrecruiters,ASML,TRUE,,,1,verified_empty
Rivian,https://jobs.smartrecruiters.com/Rivian,smartrecruiters,Rivian,TRUE,,,1,verified_empty
Lucid Motors,https://jobs.smartrecruiters.com/LucidMotors,smartrecruiters,LucidMotors,TRUE,,,1,verified_empty
Lucid,https://jobs.smartrecruiters.com/Lucid,smartrecruiters,Lucid,TRUE,,,1,verified_empty
Polestar,https://jobs.smartrecruiters.com/Polestar,smartrecruiters,Polestar,TRUE,,,1,verified_empty
Northvolt,https://jobs.smartrecruiters.com/Northvolt,smartrecruiters,Northvolt,TRUE,,,1,verified_empty
Arrival,https://jobs.smartrecruiters.com/Arrival,smartrecruiters,Arrival,TRUE,,,1,verified_empty
Proterra,https://jobs.smartrecruiters.com/Proterra,smartrecruiters,Proterra,TRUE,,,1,verified_empty
ChargePoint,https://jobs.smartrecruiters.com/ChargePoint,smartrecruiters,ChargePoint,TRUE,,,1,verified_empty
Enphase Energy,https://jobs.smartrecruiters.com/EnphaseEnergy,smartrecruiters,EnphaseEnergy,TRUE,,,1,verified_empty
Fluence,https://jobs.smartrecruiters.com/Fluence,smartrecruiters,Fluence,TRUE,,,1,verified_empty
Nextracker,https://jobs.smartrecruiters.com/Nextracker,smartrecruiters,Nextracker,TRUE,,,1,verified_empty
FormFactor,https://jobs.smartrecruiters.com/FormFactor,smartrecruiters,FormFactor,TRUE,,,1,verified_empty
Lam Research,https://jobs.smartrecruiters.com/LamResearch,smartrecruiters,LamResearch,TRUE,,,1,verified_empty
Applied Materials,https://jobs.smartrecruiters.com/AppliedMaterials,smartrecruiters,AppliedMaterials,TRUE,,,1,verified_empty
GEA,https://jobs.smartrecruiters.com/GEA,smartrecruiters,GEA,TRUE,,,1,verified_empty
Sulzer,https://jobs.smartrecruiters.com/Sulzer,smartrecruiters,Sulzer,TRUE,,,1,verified_empty
Eaton,https://jobs.smartrecruiters.com/Eaton,smartrecruiters,Eaton,TRUE,,,1,verified_empty
Schneider Electric,https://jobs.smartrecruiters.com/SchneiderElectric,smartrecruiters,SchneiderElectric,TRUE,,,1,verified_empty
Johnson Controls,https://jobs.smartrecruiters.com/JohnsonControls,smartrecruiters,JohnsonControls,TRUE,,,1,verified_empty
Rockwell Automation,https://jobs.smartrecruiters.com/RockwellAutomation,smartrecruiters,RockwellAutomation,TRUE,,,1,verified_empty
Emerson,https://jobs.smartrecruiters.com/Emerson,smartrecruiters,Emerson,TRUE,,,1,verified_empty
Honeywell,https://jobs.smartrecruiters.com/Honeywell,smartrecruiters,Honeywell,TRUE,,,1,verified_empty
Siemens,https://jobs.smartrecruiters.com/Siemens,smartrecruiters,Siemens,TRUE,,,1,verified_empty
ABB,https://jobs.smartrecruiters.com/ABB,smartrecruiters,ABB,TRUE,,,1,verified_empty
Hitachi Rail,https://jobs.smartrecruiters.com/HitachiRail,smartrecruiters,HitachiRail,TRUE,,,1,verified_empty
Alstom,https://jobs.smartrecruiters.com/Alstom,smartrecruiters,Alstom,TRUE,,,1,verified_empty
Thales,https://jobs.smartrecruiters.com/Thales,smartrecruiters,Thales,TRUE,,,1,verified
Safran,https://jobs.smartrecruiters.com/Safran,smartrecruiters,Safran,TRUE,,,1,verified_empty
Airbus,https://jobs.smartrecruiters.com/Airbus,smartrecruiters,Airbus,TRUE,,,1,verified_empty
Collins Aerospace,https://jobs.smartrecruiters.com/CollinsAerospace,smartrecruiters,CollinsAerospace,TRUE,,,1,verified_empty
RTX,https://jobs.smartrecruiters.com/RTX,smartrecruiters,RTX,TRUE,,,1,verified_empty
Raytheon,https://jobs.smartrecruiters.com/Raytheon,smartrecruiters,Raytheon,TRUE,,,1,verified_empty
